T,gyro_1f_ax
-19.909179,4
-19.809167,4
-19.709189,4
-19.609149,3
-19.509185,4
-19.409151,3
-19.309139,4
-19.209139,3
-19.109157,3
-19.009157,3
-18.909175,4
-18.809136,4
-18.705846,3
-18.609138,4
-18.509146,4
-18.409139,4
-18.309141,3
-18.209141,3
-18.10635,3
-18.009139,4
-17.909137,4
-17.809145,4
-17.706344,4
-17.609146,4
-17.509142,4
-17.409129,3
-17.309144,3
-17.20913,4
-17.109129,3
-17.009142,4
-16.909147,3
-16.809143,4
-16.706315,4
-16.609143,4
-16.505848,3
-16.406337,4
-16.309135,4
-16.206319,3
-16.10635,4
-16.009113,3
-15.909123,3
-15.806343,3
-15.709133,4
-15.606741,4
-15.506327,3
-15.406737,3
-15.306725,4
-15.206746,3
-15.106745,4
-15.006731,3
-14.906757,4
-14.806734,4
-14.706743,4
-14.605812,3
-14.506733,4
-14.406727,4
-14.306737,4
-14.206719,3
-14.106751,4
-14.009124,4
-13.906745,4
-13.80674,4
-13.706715,4
-13.606715,3
-13.506724,3
-13.406737,4
-13.306733,4
-13.206725,3
-13.106697,3
-13.006685,3
-12.906708,4
-12.80671,3
-12.706593,3
-12.606698,3
-12.506706,4
-12.406693,3
-12.306702,3
-12.206702,4
-12.106693,4
-12.006707,4
-11.906294,4
-11.806699,3
-11.706707,4
-11.607077,4
-11.507112,4
-11.407099,3
-11.307082,3
-11.207108,3
-11.10712,4
-11.00712,3
-10.907111,3
-10.806618,3
-10.706287,3
-10.607108,3
-10.506602,3
-10.407104,4
-10.307118,4
-10.206297,3
-10.107117,4
-10.006296,4
-9.906301,3
-9.807117,4
-9.707105,4
-9.607105,3
-9.507114,4
-9.406293,3
-9.307096,3
-9.20711,3
-9.0063,3
-8.905988,3
-8.806314,4
-8.706315,4
-8.6058,3
-8.506311,3
-8.407105,3
-8.307127,4
-8.20632,4
-8.107105,4
-8.00633,4
-7.907103,4
-7.806317,4
-7.707118,4
-7.606324,4
-7.506307,5
-7.40632,4
-7.306316,4
-7.206329,4
-7.106307,3
-7.00632,4
-6.906325,4
-6.80632,3
-6.705819,4
-6.606308,3
-6.507098,3
-6.40629,3
-6.306326,3
-6.206313,3
-6.106351,4
-6.006324,3
-5.906329,4
-5.806316,4
-5.706314,3
-5.606314,3
-5.506323,-8
-5.406314,0
-5.306323,4
-5.206323,7
-5.106295,2
-5.006308,3
-4.907107,4
-4.80582,3
-4.706323,5
-4.606309,3
-4.506331,1
-4.406345,5
-4.306327,4
-4.206327,3
-4.106326,3
-4.006326,5
-3.907124,4
-3.806353,5
-3.70634,6
-3.60634,8
-3.506323,5
-3.406349,4
-3.307126,1
-3.206345,4
-3.10633,5
-3.00633,3
-2.905837,4
-2.806309,5
-2.70631,5
-2.605794,7
-2.506332,4
-2.406345,4
-2.306327,3
-2.206327,7
-2.106326,-2
-2.006326,4
-1.906331,3
-1.806339,1
-1.706327,5
-1.60632,6
-1.506329,10
-1.406329,0
-1.306364,5
-1.206338,4
-1.106323,8
-1.005887,-2
-0.906341,8
-0.806336,11
-0.705836,6
-0.606338,11
-0.506346,0
-0.40632,3
-0.306342,9
-0.206302,0
-0.106354,6
-0.006341,6
0.093655,3
0.193663,6
0.293662,5
0.393649,4
0.493666,8
0.593666,3
0.693653,0
0.793614,-55
0.893632,39
0.993606,99
1.093641,87
1.194138,204
1.293648,71
1.393626,84
1.493643,140
1.593616,180
1.693594,133
1.793608,42
1.893596,19
1.993636,126
2.093605,-41
2.193603,25
2.293615,-7
2.393629,29
2.493606,97
2.593597,0
2.693562,97
2.793601,31
2.893616,81
2.99359,6
3.094113,-52
3.193597,61
3.293609,-62
3.393609,-47
3.493587,-47
3.5936,-14
3.693582,48
3.793608,-11
3.893597,-41
3.993604,-8
4.093599,-21
4.19359,32
4.293623,-17
4.393596,0
4.493592,24
4.593579,8
4.6936,-36
4.793574,22
4.893615,44
4.994117,37
5.09361,60
5.193579,13
5.293595,-54
5.393586,81
5.493607,16
5.593581,35
5.693612,3
6.093595,0
6.193591,-19
6.293589,-4
6.39358,-6
6.493571,-37
6.593584,-42
6.693589,-19
6.793602,-37
6.894106,-40
6.993577,-12
7.093593,11
7.193602,4
7.293591,-26
7.393595,20
7.493587,13
7.593586,-5
7.993579,-21
8.093588,6
8.193578,-29
8.293555,13
8.393608,23
8.49359,101
8.593581,-35
8.693602,16
8.794091,16
8.89359,-1
8.993564,4
9.093586,14
9.193594,-14
9.293584,-16
9.393584,-38
9.493562,-11
9.593575,-32
9.69357,-26
9.79357,8
9.893585,50
9.993585,-41
10.093606,-6
10.193589,-16
10.293574,-10
10.393591,-20
10.694118,43
10.793616,24
10.893591,0
10.99408,8
11.093586,-14
11.193558,8
11.293574,-33
11.393574,-7
11.493583,0
11.59357,20
11.6936,-19
11.793574,-52
11.893575,0
11.993592,1
12.093574,8
12.193573,7
12.393559,-3
12.493563,19
12.594092,32
12.693585,-16
12.793572,36
12.894066,-4
12.993564,-23
13.093559,-18
13.193554,41
13.293593,-5
13.393557,-4
13.493579,-25
13.593552,-62
13.693547,11
13.793561,-28
13.893566,-17
13.993566,-8
14.093562,54
14.193582,-3
14.293578,-15
14.393552,-11
14.494045,67
14.593547,-28
14.693551,-15
14.794057,-20
14.89356,4
14.993574,1
15.093556,-38
15.19358,-5
15.293537,6
15.393577,-16
15.493541,-79
15.593541,-16
15.693546,32
15.793558,-18
15.893564,-31
16.093533,-42
16.19354,-48
16.293557,7
16.394033,-21
16.493561,-52
16.593561,20
16.694054,4
16.793526,-15
16.893567,39
16.993554,15
17.093536,9
17.193583,-10
17.29356,-19
17.39355,61
17.493595,1
17.593555,8
17.693553,19
17.793567,32
17.893542,-12
17.993536,15
18.093531,25
18.193528,36
18.294036,14
18.393548,65
18.49353,4
18.594045,-23
18.693534,17
18.793508,-10
18.893522,80
18.993535,47
19.093588,-14
19.293533,25
19.393553,-37
19.493531,-78
19.593544,21
19.693549,24
19.793536,24
19.893524,0
19.993511,-36
20.09351,6
20.194039,-6
20.293548,56
20.393521,8
20.494028,38
20.593539,45
20.69356,64
20.793552,71
20.893517,11
20.993534,-18
21.093534,10
21.19353,16
21.293524,-35
21.393511,46
21.493515,1
21.593488,33
21.693519,50
21.79351,138
21.893492,-16
21.993493,-17
22.09398,-15
22.193519,-59
22.393986,-49
22.593515,-6
