T,gyro_1f_ay
-19.909179,-13
-19.809167,-13
-19.709189,-12
-19.609149,-13
-19.509185,-13
-19.409151,-13
-19.309139,-12
-19.209139,-13
-19.109157,-13
-19.009157,-13
-18.909175,-13
-18.809136,-13
-18.705846,-13
-18.609138,-13
-18.509146,-13
-18.409139,-13
-18.309141,-13
-18.209141,-13
-18.10635,-13
-18.009139,-13
-17.909137,-13
-17.809145,-12
-17.706344,-14
-17.609146,-13
-17.509142,-13
-17.409129,-13
-17.309144,-13
-17.20913,-13
-17.109129,-13
-17.009142,-13
-16.909147,-13
-16.809143,-13
-16.706315,-12
-16.609143,-13
-16.505848,-12
-16.406337,-13
-16.309135,-13
-16.206319,-13
-16.10635,-13
-16.009113,-13
-15.909123,-13
-15.806343,-13
-15.709133,-13
-15.606741,-12
-15.506327,-12
-15.406737,-13
-15.306725,-13
-15.206746,-13
-15.106745,-13
-15.006731,-12
-14.906757,-13
-14.806734,-12
-14.706743,-13
-14.605812,-13
-14.506733,-13
-14.406727,-13
-14.306737,-13
-14.206719,-13
-14.106751,-13
-14.009124,-13
-13.906745,-12
-13.80674,-13
-13.706715,-13
-13.606715,-13
-13.506724,-13
-13.406737,-13
-13.306733,-12
-13.206725,-13
-13.106697,-13
-13.006685,-13
-12.906708,-13
-12.80671,-13
-12.706593,-13
-12.606698,-13
-12.506706,-13
-12.406693,-13
-12.306702,-13
-12.206702,-13
-12.106693,-12
-12.006707,-13
-11.906294,-13
-11.806699,-13
-11.706707,-13
-11.607077,-13
-11.507112,-13
-11.407099,-13
-11.307082,-12
-11.207108,-13
-11.10712,-13
-11.00712,-13
-10.907111,-13
-10.806618,-12
-10.706287,-13
-10.607108,-13
-10.506602,-13
-10.407104,-13
-10.307118,-13
-10.206297,-13
-10.107117,-13
-10.006296,-13
-9.906301,-13
-9.807117,-13
-9.707105,-13
-9.607105,-13
-9.507114,-13
-9.406293,-13
-9.307096,-13
-9.20711,-14
-9.0063,-13
-8.905988,-14
-8.806314,-13
-8.706315,-12
-8.6058,-13
-8.506311,-13
-8.407105,-13
-8.307127,-13
-8.20632,-13
-8.107105,-13
-8.00633,-13
-7.907103,-13
-7.806317,-13
-7.707118,-12
-7.606324,-13
-7.506307,-13
-7.40632,-12
-7.306316,-13
-7.206329,-13
-7.106307,-13
-7.00632,-13
-6.906325,-13
-6.80632,-13
-6.705819,-13
-6.606308,-13
-6.507098,-13
-6.40629,-13
-6.306326,-13
-6.206313,-13
-6.106351,-13
-6.006324,-13
-5.906329,-13
-5.806316,-13
-5.706314,-15
-5.606314,-13
-5.506323,-12
-5.406314,-11
-5.306323,-11
-5.206323,-14
-5.106295,-12
-5.006308,-12
-4.907107,-13
-4.80582,-12
-4.706323,-14
-4.606309,-12
-4.506331,-13
-4.406345,-12
-4.306327,-14
-4.206327,-11
-4.106326,-13
-4.006326,-12
-3.907124,-13
-3.806353,-13
-3.70634,-13
-3.60634,-12
-3.506323,-13
-3.406349,-11
-3.307126,-13
-3.206345,-11
-3.10633,-14
-3.00633,-13
-2.905837,-11
-2.806309,-10
-2.70631,-12
-2.605794,-15
-2.506332,-6
-2.406345,-3
-2.306327,-15
-2.206327,-15
-2.106326,-15
-2.006326,-13
-1.906331,-10
-1.806339,-15
-1.706327,-13
-1.60632,-11
-1.506329,-15
-1.406329,-11
-1.306364,-13
-1.206338,-10
-1.106323,-8
-1.005887,-9
-0.906341,-9
-0.806336,-12
-0.705836,-14
-0.606338,-14
-0.506346,-14
-0.40632,-14
-0.306342,-10
-0.206302,-7
-0.106354,-11
-0.006341,-13
0.093655,-18
0.193663,-17
0.293662,-11
0.393649,-12
0.493666,-12
0.593666,-8
0.693653,0
0.793614,71
0.893632,8
0.993606,70
1.093641,204
1.194138,141
1.293648,194
1.393626,-12
1.493643,45
1.593616,45
1.693594,143
1.793608,148
1.893596,61
1.993636,-53
2.093605,32
2.193603,67
2.293615,-32
2.393629,111
2.493606,62
2.593597,39
2.693562,81
2.793601,69
2.893616,100
2.99359,123
3.094113,102
3.193597,64
3.293609,85
3.393609,66
3.493587,24
3.5936,48
3.693582,35
3.793608,150
3.893597,8
3.993604,18
4.093599,12
4.19359,-22
4.293623,-20
4.393596,-8
4.493592,-2
4.593579,40
4.6936,13
4.793574,15
4.893615,36
4.994117,43
5.09361,-28
5.193579,77
5.293595,47
5.393586,23
5.493607,0
5.593581,19
5.693612,48
6.093595,36
6.193591,11
6.293589,41
6.39358,16
6.493571,66
6.593584,5
6.693589,30
6.793602,24
6.894106,86
6.993577,26
7.093593,0
7.193602,45
7.293591,-1
7.393595,33
7.493587,-20
7.593586,19
7.993579,8
8.093588,-12
8.193578,19
8.293555,-3
8.393608,1
8.49359,-1
8.593581,49
8.693602,17
8.794091,-23
8.89359,12
8.993564,64
9.093586,86
9.193594,39
9.293584,0
9.393584,4
9.493562,9
9.593575,-1
9.69357,18
9.79357,57
9.893585,1
9.993585,21
10.093606,37
10.193589,4
10.293574,17
10.393591,56
10.694118,56
10.793616,12
10.893591,60
10.99408,18
11.093586,17
11.193558,-24
11.293574,27
11.393574,29
11.493583,33
11.59357,-54
11.6936,28
11.793574,34
11.893575,6
11.993592,32
12.093574,33
12.193573,26
12.393559,99
12.493563,59
12.594092,14
12.693585,21
12.793572,55
12.894066,91
12.993564,71
13.093559,58
13.193554,35
13.293593,29
13.393557,44
13.493579,38
13.593552,75
13.693547,3
13.793561,54
13.893566,34
13.993566,64
14.093562,20
14.193582,-2
14.293578,75
14.393552,34
14.494045,-50
14.593547,40
14.693551,43
14.794057,65
14.89356,85
14.993574,56
15.093556,86
15.19358,-1
15.293537,21
15.393577,32
15.493541,103
15.593541,53
15.693546,19
15.793558,96
15.893564,55
16.093533,70
16.19354,92
16.293557,76
16.394033,77
16.493561,111
16.593561,-22
16.694054,69
16.793526,89
16.893567,61
16.993554,38
17.093536,82
17.193583,108
17.29356,118
17.39355,17
17.493595,45
17.593555,91
17.693553,74
17.793567,63
17.893542,110
17.993536,94
18.093531,119
18.193528,52
18.294036,115
18.393548,98
18.49353,96
18.594045,121
18.693534,144
18.793508,130
18.893522,29
18.993535,74
19.093588,144
19.293533,87
19.393553,110
19.493531,162
19.593544,94
19.693549,103
19.793536,114
19.893524,123
19.993511,161
20.09351,101
20.194039,65
20.293548,63
20.393521,117
20.494028,95
20.593539,61
20.69356,46
20.793552,44
20.893517,75
20.993534,52
21.093534,94
21.19353,98
21.293524,101
21.393511,108
21.493515,96
21.593488,92
21.693519,114
21.79351,74
21.893492,115
21.993493,123
22.09398,148
22.193519,190
22.393986,109
22.593515,180
22.693493,129
22.793545,152
22.893547,58
22.993547,119
23.093516,118
23.193503,150
23.293514,120
23.393518,100
23.49349,77
23.593543,118
23.693547,89
23.793521,87
23.893536,48
23.993509,128
24.093504,79
24.193545,136
24.294044,163
24.39352,57
24.493524,97
24.593511,129
24.693502,112
24.793529,113
24.893534,136
24.993521,117
25.093542,165
25.193544,100
25.293514,115
25.393531,139
25.493523,167
25.593522,100
25.693474,107
25.793501,153
25.893469,166
25.993464,150
26.093472,135
26.194028,124
