T,gyro_1f_az
-19.909179,1246
-19.809167,1247
-19.709189,1247
-19.609149,1247
-19.509185,1245
-19.409151,1246
-19.309139,1247
-19.209139,1245
-19.109157,1248
-19.009157,1245
-18.909175,1245
-18.809136,1247
-18.705846,1247
-18.609138,1246
-18.509146,1246
-18.409139,1246
-18.309141,1246
-18.209141,1246
-18.10635,1245
-18.009139,1247
-17.909137,1246
-17.809145,1247
-17.706344,1246
-17.609146,1246
-17.509142,1246
-17.409129,1247
-17.309144,1246
-17.20913,1247
-17.109129,1245
-17.009142,1245
-16.909147,1245
-16.809143,1246
-16.706315,1246
-16.609143,1246
-16.505848,1245
-16.406337,1247
-16.309135,1245
-16.206319,1246
-16.10635,1247
-16.009113,1247
-15.909123,1246
-15.806343,1245
-15.709133,1246
-15.606741,1247
-15.506327,1246
-15.406737,1245
-15.306725,1245
-15.206746,1246
-15.106745,1246
-15.006731,1246
-14.906757,1245
-14.806734,1247
-14.706743,1247
-14.605812,1246
-14.506733,1245
-14.406727,1247
-14.306737,1247
-14.206719,1246
-14.106751,1246
-14.009124,1247
-13.906745,1246
-13.80674,1246
-13.706715,1248
-13.606715,1246
-13.506724,1246
-13.406737,1245
-13.306733,1246
-13.206725,1245
-13.106697,1248
-13.006685,1246
-12.906708,1246
-12.80671,1245
-12.706593,1247
-12.606698,1246
-12.506706,1246
-12.406693,1246
-12.306702,1247
-12.206702,1246
-12.106693,1248
-12.006707,1246
-11.906294,1248
-11.806699,1246
-11.706707,1247
-11.607077,1247
-11.507112,1245
-11.407099,1247
-11.307082,1246
-11.207108,1247
-11.10712,1246
-11.00712,1245
-10.907111,1247
-10.806618,1245
-10.706287,1246
-10.607108,1245
-10.506602,1246
-10.407104,1248
-10.307118,1246
-10.206297,1246
-10.107117,1246
-10.006296,1248
-9.906301,1247
-9.807117,1246
-9.707105,1247
-9.607105,1246
-9.507114,1245
-9.406293,1247
-9.307096,1246
-9.20711,1246
-9.0063,1246
-8.905988,1246
-8.806314,1246
-8.706315,1248
-8.6058,1247
-8.506311,1246
-8.407105,1246
-8.307127,1245
-8.20632,1247
-8.107105,1246
-8.00633,1246
-7.907103,1245
-7.806317,1246
-7.707118,1246
-7.606324,1247
-7.506307,1246
-7.40632,1246
-7.306316,1247
-7.206329,1246
-7.106307,1246
-7.00632,1247
-6.906325,1245
-6.80632,1247
-6.705819,1248
-6.606308,1246
-6.507098,1246
-6.40629,1247
-6.306326,1246
-6.206313,1246
-6.106351,1246
-6.006324,1247
-5.906329,1247
-5.806316,1244
-5.706314,1244
-5.606314,1242
-5.506323,1242
-5.406314,1250
-5.306323,1245
-5.206323,1241
-5.106295,1244
-5.006308,1247
-4.907107,1251
-4.80582,1247
-4.706323,1245
-4.606309,1240
-4.506331,1244
-4.406345,1245
-4.306327,1247
-4.206327,1248
-4.106326,1245
-4.006326,1250
-3.907124,1249
-3.806353,1252
-3.70634,1242
-3.60634,1244
-3.506323,1239
-3.406349,1244
-3.307126,1243
-3.206345,1244
-3.10633,1248
-3.00633,1244
-2.905837,1252
-2.806309,1246
-2.70631,1247
-2.605794,1240
-2.506332,1246
-2.406345,1245
-2.306327,1240
-2.206327,1239
-2.106326,1245
-2.006326,1244
-1.906331,1253
-1.806339,1245
-1.706327,1250
-1.60632,1250
-1.506329,1236
-1.406329,1255
-1.306364,1256
-1.206338,1244
-1.106323,1246
-1.005887,1261
-0.906341,1249
-0.806336,1251
-0.705836,1255
-0.606338,1231
-0.506346,1253
-0.40632,1238
-0.306342,1246
-0.206302,1262
-0.106354,1244
-0.006341,1252
0.093655,1239
0.193663,1235
0.293662,1260
0.393649,1249
0.493666,1236
0.593666,1251
0.693653,1296
0.793614,237
0.893632,230
0.993606,187
1.093641,225
1.194138,62
1.293648,175
1.393626,317
1.493643,292
1.593616,257
1.693594,350
1.793608,350
1.893596,374
1.993636,219
2.093605,371
2.193603,234
2.293615,323
2.393629,480
2.493606,225
2.593597,266
2.693562,264
2.793601,572
2.893616,308
2.99359,411
3.094113,403
3.193597,420
3.293609,524
3.393609,336
3.493587,441
3.5936,289
3.693582,323
3.793608,377
3.893597,450
3.993604,382
4.093599,354
4.19359,226
4.293623,534
4.393596,551
4.493592,561
4.593579,290
4.6936,636
4.793574,605
4.893615,192
4.994117,478
5.09361,440
5.193579,486
5.293595,400
5.393586,521
5.493607,366
5.593581,358
5.693612,637
6.093595,487
6.193591,281
6.293589,590
6.39358,572
6.493571,582
6.593584,618
6.693589,550
6.793602,548
6.894106,678
6.993577,607
7.093593,260
7.193602,497
7.293591,408
7.393595,669
7.493587,571
7.593586,611
7.993579,430
8.093588,411
8.193578,527
8.293555,453
8.393608,373
8.49359,356
8.593581,383
8.693602,543
8.794091,301
8.89359,426
8.993564,540
9.093586,544
9.193594,666
9.293584,560
9.393584,589
9.493562,597
9.593575,659
9.69357,447
9.79357,484
9.893585,491
9.993585,602
10.093606,433
10.193589,654
10.293574,656
10.393591,505
10.694118,364
10.793616,513
10.893591,579
10.99408,511
11.093586,604
11.193558,538
11.293574,763
11.393574,342
11.493583,511
11.59357,165
11.6936,460
11.793574,561
11.893575,467
11.993592,529
12.093574,321
12.193573,430
12.393559,324
12.493563,483
12.594092,519
12.693585,314
12.793572,387
12.894066,542
12.993564,418
13.093559,405
13.193554,421
13.293593,490
13.393557,464
13.493579,461
13.593552,519
13.693547,402
13.793561,558
13.893566,571
13.993566,408
14.093562,184
14.193582,420
14.293578,495
14.393552,619
14.494045,240
14.593547,536
14.693551,464
14.794057,610
14.89356,490
14.993574,486
15.093556,793
15.19358,486
15.293537,490
15.393577,287
15.493541,746
15.593541,654
15.693546,233
15.793558,534
15.893564,542
16.093533,408
16.19354,439
16.293557,363
16.394033,557
16.493561,318
16.593561,288
16.694054,603
16.793526,444
16.893567,549
16.993554,332
17.093536,339
17.193583,514
17.29356,492
17.39355,325
17.493595,131
17.593555,458
17.693553,475
17.793567,204
17.893542,485
17.993536,529
18.093531,392
18.193528,346
18.294036,376
18.393548,111
18.49353,211
18.594045,379
18.693534,433
18.793508,411
18.893522,36
18.993535,-10
19.093588,372
19.293533,244
19.393553,291
19.493531,350
19.593544,297
19.693549,218
19.793536,244
19.893524,378
19.993511,397
20.09351,472
20.194039,297
20.293548,335
20.393521,370
20.494028,373
20.593539,444
20.69356,129
20.793552,147
20.893517,397
20.993534,384
21.093534,444
21.19353,390
21.293524,203
21.393511,298
21.493515,452
21.593488,78
21.693519,205
21.79351,395
21.893492,388
21.993493,392
22.09398,417
22.193519,630
22.393986,310
22.593515,420
22.693493,225
22.793545,408
22.893547,366
22.993547,242
23.093516,233
23.193503,507
23.293514,344
23.393518,248
23.49349,384
23.593543,279
23.693547,343
23.793521,311
23.893536,386
23.993509,231
24.093504,292
24.193545,518
24.294044,360
24.39352,94
24.493524,214
24.593511,220
24.693502,234
24.793529,167
24.893534,382
24.993521,420
25.093542,420
25.193544,347
25.293514,398
25.393531,529
25.493523,343
25.593522,409
25.693474,410
25.793501,260
25.893469,476
25.993464,135
26.093472,594
26.194028,312
26.29351,249
26.393488,283
26.493483,590
26.59349,187
26.693472,702
26.793466,341
26.893467,350
26.993481,297
27.093516,355
27.193463,116
27.293474,182
27.393478,364
27.493447,592
27.593481,438
27.693466,226
27.793492,257
27.893485,219
27.993479,379
28.09398,541
28.193462,462
28.293472,297
28.393463,290
28.493471,474
28.593476,323
28.693461,390
28.793465,503
28.893479,568
28.99348,432
29.093465,466
29.193453,280
29.293473,475
29.39345,557
29.493498,391
29.593476,296
29.693454,418
29.793441,387
29.893455,483
29.994001,502
30.093455,439
30.193465,424
30.293498,272
30.393465,375
30.493477,462
30.593464,352
30.693494,495
30.793468,404
30.89347,518
30.993456,538
31.093491,688
31.193479,353
31.293489,260
31.393484,463
31.493488,483
31.593469,375
31.693473,275
31.7935,634
31.894003,511
31.993461,530
32.093487,650
32.193492,612
32.293458,443
32.393485,335
32.493476,145
32.593476,324
32.693487,466
32.793475,385
32.893466,204
32.993467,532
33.093449,322
33.193485,494
33.293469,461
33.393456,600
33.493486,127
33.593473,664
33.693451,334
33.793948,512
33.89346,430
33.993447,681
34.093469,200
34.193456,197
34.293476,356
34.39349,500
34.493467,76
34.593467,344
34.693445,71
34.793445,530
34.893464,403
34.993464,196
35.093472,432
35.193456,410
35.293489,497
35.393462,536
35.49344,297
35.59348,333
35.693947,324
35.793465,470
35.893458,514
35.993431,432
36.093413,417
36.19344,500
36.293447,327
36.393467,273
36.493445,419
36.593432,183
36.693489,249
36.793437,543
36.893451,264
36.993464,453
37.09346,565
37.19343,583
37.293449,351
37.393476,241
37.493454,382
37.593969,324
37.693432,424
37.793432,465
37.893434,426
37.993433,432
38.093433,512
38.193456,496
38.293476,343
38.393453,248
38.493445,575
38.593431,356
38.693462,241
38.793462,546
38.89345,177
38.993437,491
39.093419,514
39.193442,578
39.293436,202
39.393449,619
39.493929,491
39.59344,609
39.693444,281
39.793445,555
39.793445,555
39.893446,474
39.993446,648
40.093445,429
40.193455,431
40.293462,503
40.393436,273
40.493457,565
40.593444,476
40.693448,499
40.793435,325
40.893476,454
40.993423,446
41.093458,277
41.193428,463
41.293448,256
41.293448,256
41.393937,516
41.493452,333
41.593426,444
41.693431,599
41.793457,825
41.893462,265
41.993453,365
42.093448,639
42.193458,419
42.293478,449
42.393452,524
42.493443,552
42.59343,390
42.693447,299
42.793487,194
42.893422,295
42.993435,397
43.093461,117
43.193445,492
43.29398,813
43.393478,609
43.493473,552
43.593464,336
43.693468,376
43.793442,383
43.893443,502
43.99343,554
44.093432,134
44.193443,450
44.293462,488
44.393423,566
44.49344,479
44.593427,410
44.693471,512
44.793431,475
44.893432,479
44.993446,423
45.093415,638
45.193927,491
45.293431,394
45.393405,536
45.493409,540
45.593422,561
45.693427,547
45.793414,312
45.893455,424
45.993432,444
46.093415,435
46.193411,512
46.293457,671
46.393409,449
46.493443,443
46.593417,651
46.693421,429
46.793434,406
46.893423,507
46.993436,407
47.093933,289
47.193428,626
47.293435,731
47.393435,550
47.493425,324
47.593399,617
47.69343,510
47.793417,760
47.893431,628
47.993432,488
48.0934,481
48.193397,495
48.293457,352
48.39347,443
48.493448,481
48.593461,522
48.693438,435
48.793412,227
48.893414,600
48.993916,519
49.093396,402
49.193387,689
49.293427,544
49.393401,264
49.493458,480
49.593405,571
49.693383,750
49.793423,469
49.893411,765
49.993397,315
50.093406,480
50.193403,721
50.293396,810
50.393417,702
50.493395,483
50.593394,397
50.693412,594
