T,gyro_1f_roll[deg]
-19.90373,0.0
-19.803718,0.0
-19.703753,0.0
-19.6037,0.0
-19.503709,0.0
-19.403688,0.0
-19.303677,0.0
-19.20369,0.0
-19.103708,0.0
-19.003708,0.0
-18.903739,0.0
-18.803674,0.0
-18.70316,0.0
-18.603702,0.0
-18.503697,0.0
-18.403188,0.0
-18.303705,0.0
-18.203692,0.0
-18.103162,0.0
-18.00369,0.0
-17.903674,0.0
-17.803683,0.0
-17.703685,0.0
-17.603671,0.0
-17.503693,0.0
-17.403693,0.0
-17.303668,0.0
-17.203681,0.0
-17.103667,0.0
-17.003693,0.0
-16.903711,0.0
-16.803681,0.0
-16.703629,0.0
-16.603694,0.0
-16.503149,0.0
-16.403664,0.0
-16.303659,0.0
-16.203157,0.0
-16.103651,0.0
-16.003651,0.0
-15.903648,0.0
-15.80367,0.0
-15.703671,0.0
-15.603671,0.0
-15.503654,0.0
-15.40364,0.0
-15.303642,0.0
-15.203663,359.9
-15.103661,359.9
-15.003635,359.9
-14.903687,359.9
-14.803651,0.0
-14.703659,359.9
-14.603152,0.0
-14.50365,0.0
-14.403657,359.9
-14.303152,0.0
-14.203622,359.9
-14.103655,0.0
-14.003662,0.0
-13.903688,0.0
-13.803657,0.0
-13.703632,0.0
-13.603632,0.0
-13.503654,0.0
-13.40368,0.0
-13.30365,0.0
-13.203629,0.0
-13.103614,0.0
-13.003601,0.0
-12.903612,0.0
-12.803626,0.0
-12.703125,0.0
-12.603628,0.0
-12.503623,0.0
-12.403134,0.0
-12.303619,0.0
-12.203632,0.0
-12.103597,0.0
-12.003623,0.0
-11.903621,0.0
-11.803603,0.0
-11.703623,0.0
-11.603597,0.0
-11.503632,0.0
-11.403619,0.0
-11.303588,0.0
-11.203627,0.0
-11.103626,0.0
-11.003626,0.0
-10.903604,0.0
-10.803138,0.0
-10.703601,0.0
-10.603627,0.0
-10.503108,0.0
-10.403623,0.0
-10.303651,0.0
-10.203123,0.0
-10.103623,0.0
-10.003636,0.0
-9.903641,0.0
-9.803637,0.0
-9.703612,0.0
-9.603624,0.0
-9.503647,0.0
-9.403647,0.0
-9.303629,0.0
-9.203643,0.0
-9.003628,0.0
-8.903316,0.0
-8.803655,0.0
-8.703629,0.0
-8.60314,0.0
-8.503625,0.0
-8.403638,0.0
-8.303145,0.0
-8.203647,0.0
-8.103612,0.0
-8.003657,0.0
-7.903622,0.0
-7.803644,0.0
-7.703625,0.0
-7.603651,0.0
-7.503647,0.0
-7.40366,0.0
-7.303669,0.0
-7.203656,0.0
-7.103634,0.0
-7.003647,0.0
-6.903652,0.0
-6.80366,0.0
-6.70316,0.0
-6.603622,0.0
-6.503604,0.0
-6.403115,0.0
-6.303666,0.0
-6.203613,0.0
-6.103651,0.0
-6.003651,0.0
-5.903669,0.0
-5.803656,0.0
-5.703668,0.0
-5.603641,0.0
-5.503676,0.0
-5.403654,0.0
-5.303663,0.0
-5.20365,0.0
-5.103622,0.0
-5.003635,0.0
-4.903613,0.0
-4.803147,0.0
-4.703676,0.0
-4.603623,0.0
-4.503157,0.0
-4.403672,0.0
-4.303641,0.0
-4.203654,0.0
-4.103653,0.0
-4.003639,0.0
-3.903604,0.0
-3.803693,0.0
-3.703694,0.0
-3.603694,0.0
-3.50365,0.0
-3.40365,0.0
-3.303659,0.0
-3.203672,0.0
-3.10367,0.0
-3.003644,0.0
-2.903151,0.0
-2.803649,0.0
-2.70365,0.0
-2.603135,0.0
-2.503672,0.0
-2.403672,0.0
-2.303641,0.0
-2.203681,0.0
-2.103653,0.0
-2.003639,0.0
-1.903645,0.0
-1.80368,0.0
-1.703667,0.0
-1.603674,0.0
-1.503643,0.0
-1.403629,0.0
-1.303665,0.0
-1.203678,0.0
-1.10365,0.0
-1.003214,0.0
-0.903694,0.0
-0.803663,0.0
-0.703163,0.0
-0.603651,0.0
-0.503673,0.0
-0.403145,0.0
-0.303669,0.0
-0.203629,0.0
-0.103681,0.0
-0.003668,0.0
0.096328,0.0
0.196336,0.0
0.296321,0.0
0.396295,0.0
0.496353,0.0
0.596313,0.0
0.696299,0.0
0.796588,0.0
0.896606,0.0
0.99658,0.0
1.096287,0.0
1.196798,0.1
1.296294,0.0
1.396587,0.1
1.496805,0.1
1.596604,0.0
1.696569,359.9
1.796609,0.0
1.896583,0.0
1.996623,0.0
2.096579,0.0
2.19659,0.0
2.296602,0.1
2.396576,0.1
2.49658,0.2
2.596558,0.2
2.696549,0.3
2.796589,0.4
2.896603,0.5
2.996577,0.6
3.096773,0.7
3.196584,0.7
3.296596,0.8
3.396771,0.8
3.496574,0.7
3.596574,0.7
3.696556,0.7
3.796609,0.8
3.896571,0.8
3.996605,0.7
4.096586,0.7
4.196551,0.7
4.296597,0.7
4.396571,0.7
4.496566,0.6
4.596593,0.6
4.696574,0.5
4.796548,0.5
4.896602,0.4
4.99675,0.4
5.096611,0.4
5.196593,0.4
5.29677,0.3
5.396613,0.3
5.496595,0.3
5.596542,0.2
5.696599,0.2
6.096596,0.4
6.196565,0.4
6.29659,0.4
6.396541,0.5
6.496559,0.5
6.596545,0.5
6.696576,0.5
6.79655,0.5
6.896779,0.5
6.996525,0.5
7.096567,0.4
7.19679,0.4
7.296592,0.4
7.39657,0.5
7.496548,0.5
7.5966,0.5
7.796592,0.5
7.896593,0.5
7.99658,0.5
8.096575,0.6
8.196592,0.6
8.296569,0.6
8.396609,0.6
8.496564,0.5
8.596568,0.5
8.696577,0.4
8.796777,0.4
8.896551,0.4
8.996552,0.5
9.096734,0.5
9.196568,0.4
9.496549,0.4
9.596576,0.4
9.696531,0.5
9.796544,0.5
9.896559,0.4
9.996546,0.4
10.096581,0.4
10.196576,0.4
10.296562,0.4
10.396566,0.5
10.79659,0.5
10.896552,0.5
10.996739,0.5
11.096573,0.5
11.196559,0.5
11.297077,0.5
11.396588,0.6
11.496583,0.5
11.596544,0.5
11.696601,0.5
11.796548,0.5
11.89655,0.5
11.996553,0.5
12.096575,0.5
12.196561,0.5
12.296533,0.5
12.396559,0.4
12.496551,0.4
12.596751,0.4
12.696585,0.5
12.796559,0.5
12.896699,0.5
13.096533,0.5
13.197044,0.5
13.296554,0.5
13.396531,0.5
13.496566,0.5
13.596513,0.5
13.696535,0.5
13.796522,0.5
13.896514,0.5
13.996567,0.5
14.096523,0.5
14.196556,0.6
14.296552,0.6
14.396552,0.6
14.496691,0.6
14.596521,0.6
14.696565,0.6
14.796704,0.6
14.896561,0.6
14.996575,0.7
15.097019,0.7
15.196581,0.7
15.296537,0.6
15.396551,0.7
15.496515,0.7
15.596555,0.7
15.696533,0.7
15.796572,0.6
15.896565,0.7
16.096533,0.7
16.196514,0.7
16.296571,0.7
16.396706,0.7
16.496562,0.7
16.596536,0.6
16.696714,0.6
16.796513,0.6
16.896541,0.6
16.99703,0.6
17.09651,0.6
17.296521,0.5
17.396525,0.5
17.496556,0.5
17.596529,0.5
17.696541,0.5
17.796554,0.5
17.896516,0.5
17.996536,0.5
18.096492,0.5
18.196502,0.5
18.296683,0.5
18.396522,0.5
